# scan = 182
# date = 11/10/2003
# time = 1:56:44 AM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan h 1.94 2.06 .005 k 1.94 2.06 .005 l 0 preset 2
# builtin_command = scan h 1.94 2.06 .005 k 1.94 2.06 .005 l 0 preset 2
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = 220 order parameter DN T = 25.0000
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.554017,7.554017,3.847681,90.000000,90.000000,120.000000
# ubmatrix = -0.008230,-0.004834,0.259516,-0.134256,-0.130074,-0.012979,0.072618,-0.080146,0.005414
# mode = 0
# plane_normal = -0.022217,-0.027363,0.999379
# ubconf = C:\User\exp41\UBConf\UB08Nov2003_100555PM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 2.000000
# def_x = h
# def_y = detector
# col_headers = 
#   Pt.          h          k          l       time   detector    monitor        mcu         m2         s1         s2        sgl        sgu        stl        stu         a1         a2          q         ei         ef          e       temp    coldtip    tsample
      1     1.9401     1.9399     0.0000      1.836      0.000   7400.000      2.000    41.2537    55.4478   -74.7578     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     3.2273    14.6405    14.6392     0.0013    25.0000    25.0090    25.238
      2     1.9450     1.9449     0.0001      1.896      0.000   7400.000      2.000    41.2537    55.3346   -74.9802     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     3.2355    14.6405    14.6392     0.0013    25.0000    25.0090    25.238
      3     1.9501     1.9499    -0.0001      1.825      1.000   7400.000      2.000    41.2537    55.2244   -75.2085     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     3.2439    14.6405    14.6392     0.0013    25.0000    25.0080    25.211
      4     1.9551     1.9549     0.0000      1.840      0.000   7400.000      2.000    41.2537    55.1102   -75.4339     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     3.2522    14.6405    14.6392     0.0013    25.0000    25.0080    25.211
      5     1.9601     1.9599     0.0000      1.880      0.000   7400.000      2.000    41.2537    54.9961   -75.6623     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     3.2605    14.6405    14.6392     0.0013    25.0000    25.0080    25.211
      6     1.9650     1.9649     0.0001      1.889      0.000   7400.000      2.000    41.2537    54.8819   -75.8877     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     3.2688    14.6405    14.6392     0.0013    25.0000    25.0030    25.156
      7     1.9701     1.9700    -0.0001      1.824      1.000   7400.000      2.000    41.2537    54.7697   -76.1190     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     3.2772    14.6405    14.6392     0.0013    25.0000    25.0030    25.156
      8     1.9751     1.9749    -0.0000      1.907     12.000   7400.000      2.000    41.2537    54.6555   -76.3454     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     3.2855    14.6405    14.6392     0.0013    25.0000    24.9880    25.259
      9     1.9801     1.9799     0.0000      1.836     38.000   7400.000      2.000    41.2537    54.5404   -76.5727     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     3.2938    14.6405    14.6392     0.0013    25.0000    24.9880    25.259
     10     1.9850     1.9849     0.0000      1.890    167.000   7400.000      2.000    41.2537    54.4272   -76.8001     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     3.3021    14.6405    14.6392     0.0013    25.0000    24.9880    25.259
     11     1.9901     1.9899     0.0000      1.861    335.000   7400.000      2.000    41.2537    54.3120   -77.0294     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     3.3104    14.6405    14.6392     0.0013    25.0000    25.0010    25.145
     12     1.9951     1.9949     0.0000      1.866    454.000   7400.000      2.000    41.2537    54.1969   -77.2607     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     3.3188    14.6405    14.6392     0.0013    25.0000    25.0010    25.145
     13     2.0000     1.9999     0.0000      1.857    531.000   7400.000      2.000    41.2537    54.0827   -77.4881     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     3.3270    14.6405    14.6392     0.0013    25.0000    25.0010    25.145
     14     2.0051     2.0049     0.0000      1.882    544.000   7400.000      2.000    41.2537    53.9675   -77.7194     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     3.3354    14.6405    14.6392     0.0013    25.0000    24.9980    25.181
     15     2.0101     2.0099     0.0000      1.853    408.000   7400.000      2.000    41.2537    53.8524   -77.9497     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     3.3437    14.6405    14.6392     0.0013    25.0000    24.9980    25.181
     16     2.0151     2.0149    -0.0000      1.849    222.000   7400.000      2.000    41.2537    53.7372   -78.1810     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     3.3520    14.6405    14.6392     0.0013    25.0000    25.0020    25.265
     17     2.0201     2.0199     0.0000      1.825     44.000   7400.000      2.000    41.2537    53.6211   -78.4123     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     3.3603    14.6405    14.6392     0.0013    25.0000    25.0020    25.265
     18     2.0251     2.0249    -0.0000      1.874      5.000   7400.000      2.000    41.2537    53.5059   -78.6446     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     3.3687    14.6405    14.6392     0.0013    25.0000    25.0020    25.265
     19     2.0301     2.0299     0.0000      1.838      1.000   7400.000      2.000    41.2537    53.3898   -78.8749     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     3.3769    14.6405    14.6392     0.0013    25.0000    24.9910    25.150
     20     2.0351     2.0349    -0.0000      1.864      0.000   7400.000      2.000    41.2537    53.2746   -79.1072     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     3.3853    14.6405    14.6392     0.0013    25.0000    24.9910    25.150
