# scan = 140
# date = 11/9/2003
# time = 9:07:47 PM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan h 1.94 2.06 .005 k 1.94 2.06 .005 l 1.94 2.06 .005 preset mcu 20
# builtin_command = scan h 1.94 2.06 .005 k 1.94 2.06 .005 l 1.94 2.06 .005 preset mcu 20
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = 222 order parameter DN T = 52.0000
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.554017,7.554017,3.847681,90.000000,90.000000,120.000000
# ubmatrix = -0.008230,-0.004834,0.259516,-0.134256,-0.130074,-0.012979,0.072618,-0.080146,0.005414
# mode = 0
# plane_normal = -0.022217,-0.027363,0.999379
# ubconf = C:\User\exp41\UBConf\UB08Nov2003_100555PM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 20.000000
# def_x = h
# def_y = detector
# col_headers = 
#   Pt.          h          k          l       time   detector    monitor        mcu         m2         s1         s2        sgl        sgu        stl        stu         a1         a2          q         ei         ef          e       temp    coldtip    tsample
      1     1.9400     1.9398     1.9401     18.663      3.000  74000.000     20.000    41.2537    -9.9321  -116.5757     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     4.5224    14.6405    14.6392     0.0013    52.0000    51.9940    58.836
      2     1.9452     1.9450     1.9449     18.643      1.000  74000.000     20.000    41.2537   -10.1654  -117.0530     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     4.5340    14.6405    14.6392     0.0013    52.0000    51.9920    58.672
      3     1.9501     1.9499     1.9500     18.583      6.000  74000.000     20.000    41.2537   -10.4094  -117.5363     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     4.5456    14.6405    14.6392     0.0013    52.0000    51.9820    58.630
      4     1.9550     1.9548     1.9551     18.738      2.000  74000.000     20.000    41.2537   -10.6535  -118.0206     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     4.5572    14.6405    14.6392     0.0013    52.0000    51.9930    58.960
      5     1.9601     1.9599     1.9600     18.531      2.000  74000.000     20.000    41.2537   -10.8967  -118.5127     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     4.5690    14.6405    14.6392     0.0013    52.0000    52.0290    61.039
      6     1.9651     1.9649     1.9650     18.669      1.000  74000.000     20.000    41.2537   -11.1417  -119.0028     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     4.5805    14.6405    14.6392     0.0013    52.0000    52.0320    60.913
      7     1.9701     1.9699     1.9700     18.631      4.000  74000.000     20.000    41.2537   -11.3927  -119.5019     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     4.5922    14.6405    14.6392     0.0013    52.0000    51.9990    59.033
      8     1.9750     1.9749     1.9750     18.753     57.000  74000.000     20.000    41.2537   -11.6417  -119.9999     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     4.6038    14.6405    14.6392     0.0013    52.0000    51.9920    57.897
      9     1.9801     1.9799     1.9800     18.731    516.000  74000.000     20.000    41.2537   -11.8947  -120.5068     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     4.6156    14.6405    14.6392     0.0013    52.0000    51.9970    58.687
     10     1.9852     1.9851     1.9849     18.784   1181.000  74000.000     20.000    41.2537   -12.1467  -121.0186     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     4.6273    14.6405    14.6392     0.0013    52.0000    52.0010    58.774
