# scan = 190
# date = 11/10/2003
# time = 2:48:20 AM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan h 1.94 2.06 .005 k 1.94 2.06 .005 l 1.94 2.06 .005 preset mcu 20
# builtin_command = scan h 1.94 2.06 .005 k 1.94 2.06 .005 l 1.94 2.06 .005 preset mcu 20
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = 222 order parameter DN T = 22.0000
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.554017,7.554017,3.847681,90.000000,90.000000,120.000000
# ubmatrix = -0.008230,-0.004834,0.259516,-0.134256,-0.130074,-0.012979,0.072618,-0.080146,0.005414
# mode = 0
# plane_normal = -0.022217,-0.027363,0.999379
# ubconf = C:\User\exp41\UBConf\UB08Nov2003_100555PM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 20.000000
# def_x = h
# def_y = detector
# col_headers = 
#   Pt.          h          k          l       time   detector    monitor        mcu         m2         s1         s2        sgl        sgu        stl        stu         a1         a2          q         ei         ef          e       temp    coldtip    tsample
      1     1.9400     1.9398     1.9401     18.593      3.000  74000.000     20.000    41.2537    -9.9321  -116.5757     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     4.5224    14.6405    14.6392     0.0013    22.0000    22.0120    22.040
      2     1.9451     1.9450     1.9449     18.860      7.000  74000.000     20.000    41.2537   -10.1654  -117.0520     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     4.5339    14.6405    14.6392     0.0013    22.0000    22.0030    22.082
      3     1.9501     1.9499     1.9500     18.600      4.000  74000.000     20.000    41.2537   -10.4094  -117.5363     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     4.5456    14.6405    14.6392     0.0013    22.0000    22.0100    22.056
      4     1.9550     1.9548     1.9551     18.603      4.000  74000.000     20.000    41.2537   -10.6535  -118.0206     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     4.5572    14.6405    14.6392     0.0013    22.0000    22.0120    22.040
      5     1.9601     1.9600     1.9600     18.722      2.000  74000.000     20.000    41.2537   -10.8957  -118.5127     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     4.5690    14.6405    14.6392     0.0013    22.0000    22.0050    22.041
      6     1.9651     1.9649     1.9650     18.686      2.000  74000.000     20.000    41.2537   -11.1417  -119.0028     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     4.5805    14.6405    14.6392     0.0013    22.0000    22.0080    22.043
      7     1.9700     1.9699     1.9700     18.607      5.000  74000.000     20.000    41.2537   -11.3927  -119.5009     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     4.5922    14.6405    14.6392     0.0013    22.0000    22.0120    22.045
      8     1.9751     1.9749     1.9750     18.603     22.000  74000.000     20.000    41.2537   -11.6417  -120.0009     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     4.6039    14.6405    14.6392     0.0013    22.0000    21.9970    22.056
      9     1.9801     1.9799     1.9800     18.589    425.000  74000.000     20.000    41.2537   -11.8937  -120.5068     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     4.6156    14.6405    14.6392     0.0013    22.0000    22.0100    22.022
     10     1.9852     1.9851     1.9849     18.499   1048.000  74000.000     20.000    41.2537   -12.1467  -121.0186     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     4.6273    14.6405    14.6392     0.0013    22.0000    22.0070    22.026
     11     1.9901     1.9899     1.9900     18.632   1404.000  74000.000     20.000    41.2537   -12.4065  -121.5304     1.2730    -1.5670    -0.0020    -0.0010    20.6266    41.2556     4.6389    14.6405    14.6392     0.0013    22.0000    22.0000    22.045
