# scan = 31
# date = 11/8/2003
# time = 10:09:10 PM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan h 1.96 2.04 .005 k 1.96 2.04 .005 l 0 preset 2
# builtin_command = scan h 1.96 2.04 .005 k 1.96 2.04 .005 l 0 preset 2
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = 220 L
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.554017,7.554017,3.847681,90.000000,90.000000,120.000000
# ubmatrix = -0.008230,-0.004834,0.259516,-0.134256,-0.130074,-0.012979,0.072618,-0.080146,0.005414
# mode = 0
# plane_normal = -0.022217,-0.027363,0.999379
# ubconf = C:\User\exp41\UBConf\UB08Nov2003_100555PM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 2.000000
# def_x = h
# def_y = detector
# col_headers = 
#   Pt.          h          k          l       time   detector    monitor        mcu         m2         s1         s2        sgl        sgu        stl        stu         a1         a2          q         ei         ef          e       temp    coldtip    tsample
      1     1.9601     1.9599    -0.0000      1.879      0.000   7400.000      2.000    41.2537    54.9961   -75.6633     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2606    14.6405    14.6392     0.0013   295.0000     9.7978     9.517
      2     1.9650     1.9649     0.0000      1.875      1.000   7400.000      2.000    41.2537    54.8839   -75.8867     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2687    14.6405    14.6392     0.0013   295.0000     9.8013     9.458
      3     1.9701     1.9700    -0.0000      1.859      0.000   7400.000      2.000    41.2537    54.7687   -76.1190     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2772    14.6405    14.6392     0.0013   295.0000     9.8013     9.458
      4     1.9751     1.9749    -0.0000      1.892     16.000   7400.000      2.000    41.2537    54.6555   -76.3444     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2855    14.6405    14.6392     0.0013   295.0000     9.7969     9.464
      5     1.9801     1.9799     0.0000      1.874     45.000   7400.000      2.000    41.2537    54.5404   -76.5727     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2938    14.6405    14.6392     0.0013   295.0000     9.7969     9.464
      6     1.9851     1.9849    -0.0000      1.859    174.000   7400.000      2.000    41.2537    54.4272   -76.8011     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.3021    14.6405    14.6392     0.0013   295.0000     9.7969     9.464
      7     1.9901     1.9899     0.0000      1.882    319.000   7400.000      2.000    41.2537    54.3120   -77.0294     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.3104    14.6405    14.6392     0.0013   295.0000     9.7939     9.489
      8     1.9951     1.9949    -0.0000      1.892    484.000   7400.000      2.000    41.2537    54.1978   -77.2597     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.3187    14.6405    14.6392     0.0013   295.0000     9.7939     9.489
      9     2.0001     1.9999     0.0000      1.904    546.000   7400.000      2.000    41.2537    54.0827   -77.4891     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.3271    14.6405    14.6392     0.0013   295.0000     9.7939     9.489
     10     2.0051     2.0049    -0.0000      1.876    524.000   7400.000      2.000    41.2537    53.9675   -77.7204     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.3354    14.6405    14.6392     0.0013   295.0000     9.7953     9.497
     11     2.0101     2.0099     0.0000      1.864    408.000   7400.000      2.000    41.2537    53.8524   -77.9487     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.3437    14.6405    14.6392     0.0013   295.0000     9.7953     9.497
     12     2.0151     2.0149     0.0000      1.876    243.000   7400.000      2.000    41.2537    53.7362   -78.1820     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.3521    14.6405    14.6392     0.0013   295.0000     9.7966     9.491
     13     2.0201     2.0199     0.0000      1.888     63.000   7400.000      2.000    41.2537    53.6211   -78.4123     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.3603    14.6405    14.6392     0.0013   295.0000     9.7966     9.491
     14     2.0251     2.0249    -0.0000      1.876     11.000   7400.000      2.000    41.2537    53.5059   -78.6446     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.3687    14.6405    14.6392     0.0013   295.0000     9.7966     9.491
     15     2.0301     2.0299    -0.0000      1.891      1.000   7400.000      2.000    41.2537    53.3907   -78.8749     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.3769    14.6405    14.6392     0.0013   295.0000     9.7999     9.547
     16     2.0351     2.0349    -0.0000      1.866      0.000   7400.000      2.000    41.2537    53.2746   -79.1072     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.3853    14.6405    14.6392     0.0013   295.0000     9.7999     9.547
     17     2.0401     2.0400    -0.0000      1.878      1.000   7400.000      2.000    41.2537    53.1575   -79.3424     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.3937    14.6405    14.6392     0.0013   295.0000     9.7952     9.514
# Sum of Counts = 2836
# Center of Mass = 2.000944+/-0.053137
# Full Width Half-Maximum = 0.018909+/-0.030930
# 10:10:45 PM  11/8/2003   scan completed.
