# scan = 152
# date = 11/9/2003
# time = 10:32:37 PM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan h 1.94 2.06 .005 k 1.94 2.06 .005 l 0 preset 2
# builtin_command = scan h 1.94 2.06 .005 k 1.94 2.06 .005 l 0 preset 2
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = 220 order parameter DN T = 43.0000
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.554017,7.554017,3.847681,90.000000,90.000000,120.000000
# ubmatrix = -0.008230,-0.004834,0.259516,-0.134256,-0.130074,-0.012979,0.072618,-0.080146,0.005414
# mode = 0
# plane_normal = -0.022217,-0.027363,0.999379
# ubconf = C:\User\exp41\UBConf\UB08Nov2003_100555PM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 2.000000
# def_x = h
# def_y = detector
# col_headers = 
#   Pt.          h          k          l       time   detector    monitor        mcu         m2         s1         s2        sgl        sgu        stl        stu         a1         a2          q         ei         ef          e       temp    coldtip    tsample
      1     1.9401     1.9399    -0.0000      1.874      0.000   7400.000      2.000    41.2537    55.4488   -74.7578     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2273    14.6405    14.6392     0.0013    43.0000    42.9930    49.402
      2     1.9450     1.9449     0.0001      1.885      0.000   7400.000      2.000    41.2537    55.3346   -74.9802     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2355    14.6405    14.6392     0.0013    43.0000    43.0420    50.244
      3     1.9501     1.9499    -0.0001      1.845      0.000   7400.000      2.000    41.2537    55.2244   -75.2095     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2439    14.6405    14.6392     0.0013    43.0000    43.0420    50.244
      4     1.9551     1.9549     0.0000      1.859      1.000   7400.000      2.000    41.2537    55.1093   -75.4339     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2522    14.6405    14.6392     0.0013    43.0000    43.0420    50.244
      5     1.9601     1.9599     0.0000      1.855      0.000   7400.000      2.000    41.2537    54.9961   -75.6623     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2605    14.6405    14.6392     0.0013    43.0000    43.0780    49.830
      6     1.9650     1.9649     0.0000      1.872      0.000   7400.000      2.000    41.2537    54.8829   -75.8877     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2688    14.6405    14.6392     0.0013    43.0000    43.0780    49.830
      7     1.9701     1.9700    -0.0001      1.850      0.000   7400.000      2.000    41.2537    54.7687   -76.1200     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2773    14.6405    14.6392     0.0013    43.0000    43.0780    49.830
      8     1.9751     1.9749    -0.0000      1.841     11.000   7400.000      2.000    41.2537    54.6555   -76.3454     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2855    14.6405    14.6392     0.0013    43.0000    43.1310    51.103
      9     1.9801     1.9799     0.0000      1.857     57.000   7400.000      2.000    41.2537    54.5404   -76.5717     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2938    14.6405    14.6392     0.0013    43.0000    43.1310    51.103
     10     1.9850     1.9849     0.0000      1.868    165.000   7400.000      2.000    41.2537    54.4272   -76.8001     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.3021    14.6405    14.6392     0.0013    43.0000    43.1220    50.333
